title,url,text,teacher,day,flag,flag_rand20,flag_rand20.1,flag_rand30,flag_rand50
"○演習Ⅰ（１）-5
Seminar I (1)-5",https://syllabus.doshisha.ac.jp/html/2023/0280/10280010005.html,"春学期は近世期の文学作品，とりわけ和歌や俳諧など韻文の読解を行い，それらの作品及び周辺作品の読解や研究の方法を正確に身につけられるよう，各自の発表と受講者全体による質疑応答を通して授業を進めてゆく。その中で，自らの興味・問題意識の所在を明らかにしてゆく。
秋学期は，春学期の成果を踏まえ，各自で定めたテーマにより発表を行う。次年度の卒業論文作成へとつなげるため，先行研究の調査や，論文作成の方法についても具体的に提示してゆく。",['大山\u3000和哉'],"(火曜日4講時)
面接/Face-to-face",,,,,1.0
"△日本文学講読（近現代Ｂ）-2
Readings in Japanese Literature (Modern B)-2",https://syllabus.doshisha.ac.jp/html/2023/0280/10280413002.html,"【文学研究における「読み」の実践②】
文学作品を「読む」とはどのような行為か。作品を「読む」とは，書かれた内容を単に要約的に理解することではない。テクストの言葉と論理に分け入り，そのなかから自身の解釈を導き出す，極めて能動的な介入行為である。
本講義では，1940～50年代に書かれた小説を主に取り上げる。個別の作品を精読することを通じて，「読む」行為についての知識や技能を養う。作品を「読む」際に欠かせない同時代状況への理解を踏まえつつ，そこから分析的な視座を立ち上げることができるようにする。同時に，作品研究をおこなううえで有効な文学理論・批評理論を概観し，テクストをさまざまな角度から捉えることができるようにする。そのうえで，文学作品の面白さを賞翫し，その作品が持つ意義について自分の言葉で考える力を身につける。",['加藤\u3000大生'],"(火曜日6講時)
面接/Face-to-face",,,,,1.0
"○コーポレート・ガバナンス
Corporate Governance",https://syllabus.doshisha.ac.jp/html/2023/0305/30305925000.html,コーポレートガバナンス・コード（CGコード）およびスチュアードシップ・コード（SSコード）の検討を行う。,['川口\u3000恭弘'],"(月曜日3講時)
面接/Face-to-face",,,,,1.0
"△２年次演習（行政法）-86
Seminar for Sophomore-86",https://syllabus.doshisha.ac.jp/html/2023/0307/10307701086.html,"本演習は，三年生から行政法ゼミを選択したい者の準備講座として位置づけている。演習では公法の重要判例を選び，判決に賛成する立場と反対する立場に分れて，ディベートを行うことによって，法的思考とはどのようなものかを理解し，法的思考力の習得を目標にしている。演習の進め方としては，受講生をグループに分け，毎回二つのグループにディベートを行ってもらい，他のグループも，そのディベートについて意見表明をしてもらう予定である。
欠席は原則として認めない。また単位取得の必須要件として，レポートの提出を要求する。なお演習で取り上げる判例については，開講時に指示する。",['佐伯\u3000彰洋'],"(金曜日3講時)
面接/Face-to-face",,,,,1.0
"△４年次演習３（西洋政治史）-137
Seminar for Seniors 3-137",https://syllabus.doshisha.ac.jp/html/2023/0307/10307707137.html,"このクラスは，４年次演習からの新規登録を認めます。
欧州統合およびイギリスを中心として，ヨーロッパ政治に関する諸問題を取り扱います。
今年度の授業では，ヨーロッパ政治について理解を深めるために，近年，グローバル化の動きを蝕むような動きが世界各地で見られるようになったことを，単に反グローバル化として捉えるのではなく，「トライバル化」という新たな概念を用いて，グローバル化に抗する動きの多様な実態を鮮やかに描き出しているテキストを講読します。
反グローバル化の象徴的な動きとして，よく挙げられるのは以下のような現象です。反EUを掲げる右派ポピュリズム，中東諸国で影響力を広げているイスラム原理主義，イギリスのブレグジット（EU離脱），「アメリカ・ファースト」を主張するトランプ前大統領，そして，偉大なるロシアの復活を求めてウクライナ戦争を起こしたプーチン大統領など，実にさまざまな現象が反グローバル化の波を体現するものとして引き合いに出されます。
こうした現象は，グローバル化に反対するだけではなく，興味深い共通点があるとされています。すなわち，他者はすべからく敵とみる同胞者共同体の構築と，共同体を囲む境界線の開放を破壊的他者の流入と決めつける敵意が共通しているとされるのです。テキストの著者は，これを「トライバル化」という概念で捉えています。グローバル化によって引き起こされたトラウマやアイデンティティの危機にさらされた人々は，国家，宗教，民族など自分が最もなじみのある「トライブ（部族）」の中に身を隠すようになったと考えられます。今年度の授業では，グローバル化の進展とともに顕著になったトライバル化に着目したテキストを講読することにより，グローバル化がどのような将来をもたらすのか受講者とともに考えていきたいと思います。
テキストを講読した後，それぞれ個人報告を行うことになりますが，その具体的なテーマについては，基本的に受講者の問題関心に沿ったものを取り上げることにします。また，受講者数や授業回数の関係で毎学期必ず実施できるかどうかはわかりませんが，できればヨーロッパ政治に限らず，より広く政治一般に関係する問題を取り上げて，ゼミ受講者の間でディベートを実施したいと考えています。ディベートを通じて，受講者の間で，大学生活のみならず広く社会生活においても有用なコミュニケーション能力の向上をめざしたいと考えています。
なお，ゼミ受講者は各自選んだヨーロッパ政治に関連するテーマでゼミ論文（12,000字以上）を執筆し，ゼミ終了時までに提出することになります。また，ゼミ論文執筆前に論文テーマに関する報告をしてもらいます。受講者が執筆したゼミ論文をまとめて，授業終了時にゼミ論文集を発行する予定です。",['力久\u3000昌幸'],"(金曜日4講時)
面接/Face-to-face",,,,,1.0
"△文献研究（英語）-7
Research in Documentary Study (English)-7",https://syllabus.doshisha.ac.jp/html/2023/0308/10308751007.html,"本講義では，英米の刑事法に関する英語文献を講読します。英語を精読する能力を身に着けるとともに，英米と日本の刑事法に関する問題を比較検討することで，問題を考えるうえでのより広い視野を養ってもらいます。
授業では, 配布テキストを受講者にあらかじめ訳してきてもらい, それに対して教員が英文法と文献の中身に関する解説を行います。また，必要に応じて，日本の問題状況についても調べて報告してもらいます。英文法の解説もできる限り丁寧に行いますが，受講者に基礎的な英文法の知識が備わっていることが望ましいです。",['梶\u3000悠輝'],"(水曜日2講時)
面接/Face-to-face",,,,,1.0
"△刑法演習Ⅱ２
Criminal Law Seminar II 2",https://syllabus.doshisha.ac.jp/html/2023/0365/30365712000.html,刑法各論における重要な問題について，研究書・論文を素材として，受講生によるレジュメの作成，内容の報告，問題提起に基づいて議論をすることにより，刑法学の理解と応用力を養成することを目的とする。取り上げるテーマについては，第1回授業時に，受講生と相談のうえ決定する。受講生には，学期末に報告したテーマについてレポートを提出することが求められる。,['松原\u3000久利'],"(火曜日3講時)
面接/Face-to-face",,,,,1.0
"○商法Ⅰ１-2
Commercial Law I 1-2",https://syllabus.doshisha.ac.jp/html/2023/0402/10402605002.html,現代の経済において重要な役割を担っている会社を法規制について，特に会社法といわれる分野を中心に説明する。会社法Iでは，会社の機能や会社法の機能といった会社法学の基本となる部分を説明したうえで，会社を実際に動かす立場にある経営者（法律上は「取締役」や「執行役」という名称である）に対する規律を中心に説明する。,['舩津\u3000浩司'],"(月曜日1講時)
面接/Face-to-face",,,,,1.0
"○データ処理基礎論-1
Data Processing Basics-1",https://syllabus.doshisha.ac.jp/html/2023/0403/10403062001.html,本科目では，情報技術と情報処理の基礎的な知識として，プログラミング言語の文法とアルゴリズムの考え方について初歩的な解説をします。アプリケーションを使っていかにデータ処理を行うかではなく，データ処理を行うアプリケーションがいかなるアルゴリズムとデータ構造から成り立っているのかという観点から講義を行っていきます．,['久保\u3000徳次郎'],"(月曜日5講時)
面接/Face-to-face",,,,,1.0
"△地域経済
Regional Economics",https://syllabus.doshisha.ac.jp/html/2023/0407/10407161000.html,"日本の地域・都市を念頭において，経済学の視点から，地域・都市経済の特徴と問題について概説し，
地域政策のあり方について考える。具体的には，
（1）地域経済計算と地域経済の成長・衰退分析
（2）地域の規模
（3）地域間交易
について説明する。
講義は，ミクロ経済学とマクロ経済学の知識を有していることを前提にして進める。",['小藤\u3000弘樹'],"(木曜日3講時)
面接/Face-to-face",,,,,1.0
"△【理】特講Ⅰ（上級マクロ経済理論２）
Topics in Introduction to Dynamic Macroeconomics 2 I",https://syllabus.doshisha.ac.jp/html/2023/0408/10408134000.html,本講義では，経済成長モデルと景気循環モデルを取り上げ，最近の展開までをフォローする。特に，資本市場の不完全性を明示的に導入したモデルを中心に議論する。また，バブルの経済分析も取り上げる。,['柴田\u3000章久'],"(水曜日5講時)
面接/Face-to-face",,,,,1.0
